PASSENGERS,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,YEAR,MONTH
5262.00,5016.00,UA,United Air Lines Inc.,UA,12266,IAH,11915,GIG,2023,3
5263.00,3931.00,DL,Delta Air Lines Inc.,DL,12478,JFK,16321,ZRH,2023,3
5264.00,1388.00,WN,Southwest Airlines Co.,WN,11032,CUN,10821,BWI,2023,1
5265.00,1981.00,F9,Frontier Airlines Inc.,F9,13930,ORD,14293,PUJ,2023,2
5268.00,2627.00,AS,Alaska Airlines Inc.,AS,12892,LAX,12990,LIR,2023,2
5268.00,4015.00,DL,Delta Air Lines Inc.,DL,12972,LHR,13487,MSP,2023,3
5268.00,4745.00,DL,Delta Air Lines Inc.,DL,12478,JFK,11988,GRU,2023,2
5269.00,1557.00,DL,Delta Air Lines Inc.,DL,14312,PVR,10397,ATL,2023,1
5269.00,3449.00,DL,Delta Air Lines Inc.,DL,10721,BOS,10920,CDG,2023,1
5271.00,2098.00,DL,Delta Air Lines Inc.,DL,10711,BOG,10397,ATL,2023,2
5273.00,4396.00,AA,American Airlines Inc.,AA,11760,FRA,11057,CLT,2023,1
5274.00,3265.00,DL,Delta Air Lines Inc.,DL,10721,BOS,12972,LHR,2023,3
5275.00,4160.00,UA,United Air Lines Inc.,UA,10752,BRU,13930,ORD,2023,2
5276.00,1782.00,AA,American Airlines Inc.,AA,14312,PVR,13930,ORD,2023,1
5276.00,6882.00,DL,Delta Air Lines Inc.,DL,12169,HND,10397,ATL,2023,2
5278.00,1569.00,NK,Spirit Air Lines,NK,11052,CLO,11697,FLL,2023,1
5281.00,1522.00,NK,Spirit Air Lines,NK,10711,BOG,11697,FLL,2023,1
5282.00,1444.00,NK,Spirit Air Lines,NK,13930,ORD,11032,CUN,2023,3
5283.00,1506.00,UA,United Air Lines Inc.,UA,14293,PUJ,12264,IAD,2023,1
5283.00,5879.00,UA,United Air Lines Inc.,UA,13518,MUC,14771,SFO,2023,2
5286.00,2310.00,DL,Delta Air Lines Inc.,DL,13487,MSP,14293,PUJ,2023,3
5287.00,3656.00,UA,United Air Lines Inc.,UA,10292,AMS,11618,EWR,2023,2
5288.00,1669.00,F9,Frontier Airlines Inc.,F9,11032,CUN,11292,DEN,2023,3
5289.00,5039.00,UA,United Air Lines Inc.,UA,11292,DEN,11760,FRA,2023,1
5294.00,1388.00,WN,Southwest Airlines Co.,WN,10821,BWI,11032,CUN,2023,1
5294.00,1760.00,AA,American Airlines Inc.,AA,11032,CUN,14107,PHX,2023,2
5295.00,1669.00,F9,Frontier Airlines Inc.,F9,11292,DEN,11032,CUN,2023,3
5295.00,4645.00,UA,United Air Lines Inc.,UA,12266,IAH,14717,SCL,2023,3
5302.00,2204.00,B6,JetBlue Airways,B6,12478,JFK,14838,SJO,2023,3
5303.00,1009.00,NK,Spirit Air Lines,NK,14739,SDQ,13204,MCO,2023,3
5303.00,4965.00,AA,American Airlines Inc.,AA,11298,DFW,13156,MAD,2023,2
5305.00,549.00,B6,JetBlue Airways,B6,11032,CUN,11697,FLL,2023,2
5305.00,1557.00,DL,Delta Air Lines Inc.,DL,14312,PVR,10397,ATL,2023,3
5305.00,1782.00,AA,American Airlines Inc.,AA,13930,ORD,14312,PVR,2023,2
5305.00,2627.00,AS,Alaska Airlines Inc.,AS,12990,LIR,12892,LAX,2023,2
5307.00,3589.00,DL,Delta Air Lines Inc.,DL,13156,MAD,12478,JFK,2023,2
5311.00,5225.00,UA,United Air Lines Inc.,UA,13518,MUC,11292,DEN,2023,1
5314.00,3656.00,UA,United Air Lines Inc.,UA,11618,EWR,10292,AMS,2023,1
5317.00,1473.00,NK,Spirit Air Lines,NK,11032,CUN,11433,DTW,2023,3
5319.00,3606.00,UA,United Air Lines Inc.,UA,11618,EWR,13156,MAD,2023,1
5319.00,5004.00,DL,Delta Air Lines Inc.,DL,10292,AMS,14057,PDX,2023,1
5322.00,4396.00,AA,American Airlines Inc.,AA,11760,FRA,11057,CLT,2023,3
5323.00,3265.00,AA,American Airlines Inc.,AA,10721,BOS,12972,LHR,2023,3
5326.00,4577.00,HA,Hawaiian Airlines Inc.,HA,12277,ICN,12173,HNL,2023,1
5327.00,913.00,NK,Spirit Air Lines,NK,14293,PUJ,11697,FLL,2023,3
5327.00,4589.00,AA,American Airlines Inc.,AA,10920,CDG,13303,MIA,2023,2
5328.00,1721.00,AA,American Airlines Inc.,AA,13180,MBJ,13930,ORD,2023,1
5330.00,1587.00,DL,Delta Air Lines Inc.,DL,10397,ATL,12990,LIR,2023,2
5330.00,7153.00,DL,Delta Air Lines Inc.,DL,10397,ATL,12277,ICN,2023,2
5331.00,1612.00,AS,Alaska Airlines Inc.,AS,11874,GDL,14831,SJC,2023,1
5331.00,1760.00,AA,American Airlines Inc.,AA,14107,PHX,11032,CUN,2023,1
5332.00,1473.00,NK,Spirit Air Lines,NK,11433,DTW,11032,CUN,2023,2
5333.00,1734.00,B6,JetBlue Airways,B6,10721,BOS,11032,CUN,2023,3
5333.00,3449.00,DL,Delta Air Lines Inc.,DL,10920,CDG,10721,BOS,2023,1
5335.00,1303.00,B6,JetBlue Airways,B6,12478,JFK,14153,PLS,2023,3
5337.00,1981.00,F9,Frontier Airlines Inc.,F9,13930,ORD,14293,PUJ,2023,3
5339.00,411.00,YV,Mesa Airlines Inc.,YV,12266,IAH,13514,MTY,2023,2
5339.00,2721.00,DL,Delta Air Lines Inc.,DL,14838,SJO,12892,LAX,2023,1
5340.00,5066.00,HA,Hawaiian Airlines Inc.,HA,15092,SYD,12173,HNL,2023,3
5341.00,347.00,PT,Piedmont Airlines,PT,16271,YYZ,14100,PHL,2023,3
5341.00,5456.00,UA,United Air Lines Inc.,UA,12972,LHR,12892,LAX,2023,1
5346.00,3133.00,UA,United Air Lines Inc.,UA,12266,IAH,12986,LIM,2023,3
5350.00,4396.00,AA,American Airlines Inc.,AA,11057,CLT,11760,FRA,2023,1
5357.00,1911.00,AA,American Airlines Inc.,AA,14100,PHL,10411,AUA,2023,2
5362.00,7487.00,UA,United Air Lines Inc.,UA,12892,LAX,15092,SYD,2023,2
5364.00,1646.00,DL,Delta Air Lines Inc.,DL,14293,PUJ,10721,BOS,2023,1
5366.00,1366.00,DL,Delta Air Lines Inc.,DL,10397,ATL,12010,GUA,2023,1
5367.00,1248.00,AS,Alaska Airlines Inc.,AS,14771,SFO,14832,SJD,2023,1
5369.00,1646.00,DL,Delta Air Lines Inc.,DL,14293,PUJ,10721,BOS,2023,3
5370.00,771.00,AA,American Airlines Inc.,AA,14879,SLP,11298,DFW,2023,1
5373.00,1468.00,F9,Frontier Airlines Inc.,F9,11032,CUN,14100,PHL,2023,1
